op name, kernel name, exec duration (ms), global size, local size, output size
ffn_gate-5,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_gate-5,kernel_mul_mat_Ab_Bi_8x4,7.755008,16x3584x4,1x32x4,14336x125x1x1
ffn_up-5,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,14336x125x1x1
ffn_up-5,kernel_mul_mat_Ab_Bi_8x4,7.801088,16x3584x4,1x32x4,14336x125x1x1
ffn_swiglu-5,kernel_swiglu,0.323840,64000x1x1,512x1x1,14336x125x1x1
ffn_out-5,kernel_transpose_32_16,0.248064,14336x32x0,16x1x0,4096x125x1x1
ffn_out-5,kernel_mul_mat_Ab_Bi_8x4,7.835904,16x1024x4,1x32x4,4096x125x1x1
l_out-5,kernel_add,0.086016,8000x1x1,64x1x1,4096x125x1x1
attn_norm-6,kernel_rms_norm_mul,0.056064,128000x1x1,1024x1x1,4096x125x1x1
Qcur-6,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,4096x125x1x1
Qcur-6,kernel_mul_mat_Ab_Bi_8x4,2.219008,16x1024x4,1x32x4,4096x125x1x1
Qcur-6,kernel_rope_norm_f32,0.057088,2048x125x1,64x1x1,128x32x125x1
Vcur-6,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Vcur-6,kernel_mul_mat_Ab_Bi_8x4,0.602880,16x256x4,1x32x4,1024x125x1x1
Kcur-6,kernel_transpose_32_16,0.071936,4096x32x0,16x1x0,1024x125x1x1
Kcur-6,kernel_mul_mat_Ab_Bi_8x4,0.606976,16x256x4,1x32x4,1024x125x1x1
Kcur-6,kernel_rope_norm_f32,0.012032,512x125x1,64x1x1,128x8x125x1
cache_k_l6 (view),kernel_set_rows_f16_i64,0.015872,128000x1x1,1024x1x1,1024x4096x1x1
cache_v_l6 (reshaped) (view),kernel_set_rows_f16_i64,0.253952,2000x64x1,1x64x1,1x4194304x1x1
node_443,mul_mm_f16_f32_kq,0.264960,64x4x128,64x1x2,256x125x32x1
kq_soft_max-6,kernel_soft_max_4,0.104192,8000x32x1,64x1x1,256x125x32x1
snapkv_kqv-6,mul_mm_f16_f32_kqv,0.339200,64x2x128,64x1x2,128x125x32x1
kqv_out-6,kernel_cpy_f32_f32,0.041984,2048x125x1,64x1x1,4096x125x1x1
kq_soft_max-6 (view) (view) (permuted) (cont),kernel_cpy_f32_f32,0.032000,1744x32x1,16x1x1,16x109x32x1
snapkv_importance-6,kernel_sum_rows_f32,0.008960,109x32x1,64x1x1,1x109x32x1
snapkv_importance-6 (reshaped) (reshaped) (permuted) (cont),kernel_cpy_f32_f32,0.008960,436x8x1,4x1x1,4x109x8x1
snapkv_imp_kv-6,kernel_sum_rows_f32,0.001792,109x8x1,64x1x1,1x109x8x1
node_460,kernel_argsort_f32_i32,0.015104,128x8x1,128x1x1,109x8x1x1
node_462,kernel_get_rows_f16,0.005888,3072x8x1,64x1x1,128x48x8x1
cache_k_l6 (view) (permuted) (view) (copy),kernel_cpy_f16_f32,0.003072,1024x8x1,64x1x1,128x16x8x1
snapkv_K_packed-6,kernel_concat_f32_contiguous,0.004864,128x64x8,0x0x0,128x64x8x1
cache_k_l6 (view) (permuted) (view),kernel_set_rows_f16_i64,0.009216,8192x8x1,128x1x1,128x256x8x1
node_472,kernel_get_rows_f32,0.007168,3072x8x1,64x1x1,128x48x8x1
snapkv_V_packed-6,kernel_concat_f32_non_contiguous,0.115968,64x8x1,0x0x0,128x64x8x1
snapkv_V_packed-6 (permuted) (cont),kernel_cpy_f32_f32,0.006912,512x64x1,64x1x1,128x8x64x1
cache_v_l6 (view) (view) (view),kernel_set_rows_f16_i64,0.123904,1024x64x1,1x64x1,1x4194304x1x1
attn_out-6,kernel_transpose_32_16,0.072192,4096x32x0,16x1x0,4096x125x1x1
